340.36	0.00
340.73	-2.00
341.11	-6.00
341.48	-2.00
341.85	0.00
342.22	2.00
342.59	4.00
342.96	-4.00
343.34	-6.00
343.71	4.00
344.08	3.00
344.45	5.00
344.82	-3.00
345.20	0.00
345.57	-2.00
345.94	-1.00
346.31	3.00
346.68	2.00
347.05	0.00
347.42	-1.00
347.80	-6.00
348.17	-1.00
348.54	-5.00
348.91	-11.00
349.28	-10.00
349.65	2.00
350.02	2.00
350.40	5.00
350.77	3.00
351.14	-4.00
351.51	1.00
351.88	3.00
352.25	-6.00
352.62	-1.00
352.99	4.00
353.37	5.00
353.74	11.00
354.11	3.00
354.48	0.00
354.85	4.00
355.22	-5.00
355.59	5.00
355.96	-3.00
356.33	6.00
356.70	1.00
357.07	-3.00
357.44	-3.00
357.82	5.00
358.19	3.00
358.56	0.00
358.93	5.00
359.30	3.00
359.67	1.00
360.04	-3.00
360.41	0.00
360.78	0.00
361.15	1.00
361.52	2.00
361.89	2.00
362.26	3.00
362.63	3.00
363.00	-7.00
363.37	2.00
363.74	0.00
364.11	1.00
364.48	3.00
364.85	2.00
365.22	-2.00
365.59	0.00
365.96	-1.00
366.33	5.00
366.70	5.00
367.07	5.00
367.44	-3.00
367.81	-5.00
368.18	3.00
368.55	0.00
368.92	3.00
369.29	-1.00
369.66	2.00
370.03	5.00
370.40	-2.00
370.77	5.00
371.14	2.00
371.51	-1.00
371.88	2.00
372.25	0.00
372.62	2.00
372.99	5.00
373.36	-6.00
373.73	-7.00
374.10	-6.00
374.47	0.00
374.84	7.00
375.21	6.00
375.58	8.00
375.95	-5.00
376.32	5.00
376.69	2.00
377.05	4.00
377.42	-5.00
377.79	-3.00
378.16	-4.00
378.53	6.00
378.90	-1.00
379.27	1.00
379.64	1.00
380.01	-2.00
380.38	2.00
380.75	-4.00
381.11	1.00
381.48	-8.00
381.85	3.00
382.22	-3.00
382.59	-1.00
382.96	-4.00
383.33	-4.00
383.70	4.00
384.06	0.00
384.43	0.00
384.80	-1.00
385.17	-1.00
385.54	8.00
385.91	3.00
386.28	-8.00
386.64	4.00
387.01	-4.00
387.38	3.00
387.75	-2.00
388.12	1.00
388.49	-4.00
388.85	0.00
389.22	0.00
389.59	-10.00
389.96	-7.00
390.33	6.00
390.70	1.00
391.06	1.00
391.43	3.00
391.80	3.00
392.17	7.00
392.54	7.00
392.90	-1.00
393.27	-4.00
393.64	5.00
394.01	-2.00
394.38	-3.00
394.74	2.00
395.11	0.00
395.48	1.00
395.85	0.00
396.21	-6.00
396.58	4.00
396.95	4.00
397.32	2.00
397.69	-2.00
398.05	3.00
398.42	0.00
398.79	6.00
399.16	-1.00
399.52	-3.00
399.89	2.00
400.26	3.00
400.62	-3.00
400.99	-1.00
401.36	3.00
401.73	-3.00
402.09	1.00
402.46	1.00
402.83	3.00
403.20	-1.00
403.56	2.00
403.93	0.00
404.30	-2.00
404.66	-8.00
405.03	6.00
405.40	8.00
405.76	-3.00
406.13	0.00
406.50	0.00
406.86	2.00
407.23	2.00
407.60	5.00
407.97	2.00
408.33	-3.00
408.70	4.00
409.07	3.00
409.43	11.00
409.80	0.00
410.17	3.00
410.53	-1.00
410.90	-5.00
411.26	-1.00
411.63	-5.00
412.00	-3.00
412.36	2.00
412.73	1.00
413.10	6.00
413.46	9.00
413.83	5.00
414.20	1.00
414.56	4.00
414.93	3.00
415.29	7.00
415.66	3.00
416.03	-2.00
416.39	0.00
416.76	-9.00
417.12	3.00
417.49	5.00
417.86	4.00
418.22	1.00
418.59	-3.00
418.95	7.00
419.32	2.00
419.68	1.00
420.05	0.00
420.42	0.00
420.78	1.00
421.15	3.00
421.51	-2.00
421.88	1.00
422.24	-4.00
422.61	0.00
422.97	4.00
423.34	5.00
423.71	8.00
424.07	2.00
424.44	-3.00
424.80	2.00
425.17	4.00
425.53	2.00
425.90	1.00
426.26	2.00
426.63	6.00
426.99	4.00
427.36	5.00
427.72	1.00
428.09	2.00
428.45	4.00
428.82	-1.00
429.18	2.00
429.55	-3.00
429.91	0.00
430.28	-4.00
430.64	4.00
431.01	3.00
431.37	4.00
431.74	-2.00
432.10	0.00
432.47	-1.00
432.83	-1.00
433.19	0.00
433.56	4.00
433.92	6.00
434.29	0.00
434.65	0.00
435.02	1.00
435.38	8.00
435.75	-4.00
436.11	1.00
436.47	-4.00
436.84	0.00
437.20	10.00
437.57	4.00
437.93	-3.00
438.30	9.00
438.66	1.00
439.02	6.00
439.39	9.00
439.75	8.00
440.12	12.00
440.48	2.00
440.84	-1.00
441.21	-1.00
441.57	5.00
441.94	-3.00
442.30	-2.00
442.66	-2.00
443.03	2.00
443.39	3.00
443.75	3.00
444.12	-4.00
444.48	3.00
444.84	0.00
445.21	-1.00
445.57	8.00
445.93	4.00
446.30	-1.00
446.66	7.00
447.02	-4.00
447.39	2.00
447.75	11.00
448.11	6.00
448.48	2.00
448.84	0.00
449.20	0.00
449.57	5.00
449.93	-4.00
450.29	3.00
450.66	11.00
451.02	1.00
451.38	-1.00
451.75	0.00
452.11	1.00
452.47	-3.00
452.83	3.00
453.20	3.00
453.56	3.00
453.92	8.00
454.28	6.00
454.65	9.00
455.01	5.00
455.37	4.00
455.74	0.00
456.10	9.00
456.46	-2.00
456.82	5.00
457.19	10.00
457.55	2.00
457.91	5.00
458.27	6.00
458.63	11.00
459.00	5.00
459.36	3.00
459.72	8.00
460.08	5.00
460.45	17.00
460.81	4.00
461.17	10.00
461.53	4.00
461.89	7.00
462.26	16.00
462.62	15.00
462.98	12.00
463.34	6.00
463.70	15.00
