340.36	0.00
340.73	0.00
341.11	6.00
341.48	-4.00
341.85	-5.00
342.22	1.00
342.59	0.00
342.96	-1.00
343.34	1.00
343.71	-2.00
344.08	3.00
344.45	5.00
344.82	5.00
345.20	9.00
345.57	4.00
345.94	4.00
346.31	-4.00
346.68	-3.00
347.05	-3.00
347.42	-1.00
347.80	0.00
348.17	3.00
348.54	2.00
348.91	-4.00
349.28	3.00
349.65	24.00
350.02	26.00
350.40	22.00
350.77	21.00
351.14	23.00
351.51	26.00
351.88	18.00
352.25	23.00
352.62	18.00
352.99	25.00
353.37	30.00
353.74	27.00
354.11	23.00
354.48	16.00
354.85	23.00
355.22	24.00
355.59	28.00
355.96	23.00
356.33	23.00
356.70	21.00
357.07	24.00
357.44	24.00
357.82	19.00
358.19	32.00
358.56	25.00
358.93	23.00
359.30	18.00
359.67	27.00
360.04	25.00
360.41	29.00
360.78	29.00
361.15	24.00
361.52	21.00
361.89	25.00
362.26	29.00
362.63	35.00
363.00	29.00
363.37	37.00
363.74	26.00
364.11	36.00
364.48	44.00
364.85	38.00
365.22	43.00
365.59	48.00
365.96	41.00
366.33	43.00
366.70	48.00
367.07	30.00
367.44	46.00
367.81	37.00
368.18	41.00
368.55	42.00
368.92	53.00
369.29	44.00
369.66	47.00
370.03	52.00
370.40	49.00
370.77	39.00
371.14	43.00
371.51	55.00
371.88	52.00
372.25	64.00
372.62	58.00
372.99	57.00
373.36	63.00
373.73	71.00
374.10	64.00
374.47	66.00
374.84	72.00
375.21	72.00
375.58	69.00
375.95	67.00
376.32	66.00
376.69	83.00
377.05	83.00
377.42	76.00
377.79	81.00
378.16	80.00
378.53	91.00
378.90	91.00
379.27	91.00
379.64	101.00
380.01	98.00
380.38	92.00
380.75	99.00
381.11	103.00
381.48	105.00
381.85	109.00
382.22	108.00
382.59	110.00
382.96	116.00
383.33	122.00
383.70	128.00
384.06	122.00
384.43	132.00
384.80	134.00
385.17	128.00
385.54	137.00
385.91	137.00
386.28	135.00
386.64	144.00
387.01	154.00
387.38	146.00
387.75	150.00
388.12	151.00
388.49	148.00
388.85	149.00
389.22	166.00
389.59	165.00
389.96	166.00
390.33	156.00
390.70	163.00
391.06	164.00
391.43	183.00
391.80	182.00
392.17	173.00
392.54	176.00
392.90	189.00
393.27	195.00
393.64	189.00
394.01	188.00
